GATA2	FLT3	CD99	GATA1	MME	LTB	MPO
Data_56	-0.353573118356085	0.249791482971085	1.27999562019443	-0.333546315630374	0.584700828018341	-0.0129398647617204	-0.163555971739278
Data_57	-0.950425699137208	0.660802618769329	0.264158156952194	-0.635082255225613	-0.0373644445463994	-0.0641586666435593	-0.227820427125385
Data_58	-0.522554590001581	0.65459390900932	0.563686945062209	-0.635082255225613	-0.482524498934012	0.837306347721982	-0.357910157724808
Data_59	-0.603738219683296	1.06438590412006	0.912318282949975	-0.635082255225613	-0.482524498934012	-0.043549662680833	-0.357910157724808
Data_60	-0.432201020084805	0.248077320623806	0.644156780166478	-0.635082255225613	-0.0485005591034389	0.458542416476708	-0.357910157724808
Data_61	-0.188943122613478	-0.712041243219619	0.766139154586044	-0.635082255225613	-0.0952637039803774	-0.866565664616072	5.15897447741323
Data_62	-0.613096530338603	1.08463709109917	0.925205198420181	-0.635082255225613	-0.482524498934012	-0.0970067561610616	-0.357910157724808
Data_63	-1.13675400884307	1.42716586785876	1.25647284881002	-0.635082255225613	-0.482524498934012	-0.657849638955091	-0.357910157724808
Data_64	-0.570580059980288	1.48168757282999	1.07177317051745	-0.635082255225613	-0.482524498934012	0.889028447323839	-0.0226374575992853
Data_65	-0.108635367615694	0.780344025101737	1.48517349958676	-0.635082255225613	-0.482524498934012	-0.341114336938487	1.74179644521206
Data_66	-0.564899871224032	0.0851731757074896	1.16655378969982	-0.499378742558324	0.11732745229692	-0.412086965421672	-0.299980566807485
Data_67	-0.650579891496865	-0.555022295647474	1.25832089931955	-0.635082255225613	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_68	-0.358403066900641	0.571259727520638	1.49112989212778	-0.635082255225613	-0.482524498934012	-0.866565664616072	1.85188929151192
Data_69	-0.692800797431097	1.2140166774469	0.660271320497181	-0.635082255225613	-0.482524498934012	0.0740288556171365	-0.283423319946314
Data_70	-0.780238349059925	-0.865656860962183	0.665708544169445	-0.635082255225613	-0.482524498934012	-0.866565664616072	2.63643467741597
Data_71	-1.49836194303966	0.867230545770804	0.48670978830238	-0.0750298541543505	-0.255737801896171	-0.347333917432868	0.000595880018712371
Data_72	-0.619150082670983	-0.702941411039675	0.994065141624869	-0.635082255225613	-0.482524498934012	-0.463632321533702	4.24278230222316
Data_73	-1.33869971228629	-0.939210943233237	1.28811509013379	-0.235020419204548	-0.482524498934012	-0.866565664616072	4.37734638489349
Data_74	-0.942032724815061	-0.357323267032111	0.956062502628178	-0.635082255225613	-0.482524498934012	0.0295257891850753	-0.357910157724808
Data_75	-1.21084404327484	1.39645099167435	0.77303850454631	-0.379264638675913	0.239072759429265	-0.170965209012508	-0.357910157724808
Data_76	-1.29783633909995	-0.938596767214831	0.982332894547576	-0.635082255225613	-0.482524498934012	-0.259070922710173	1.36071165077598
Data_77	-0.47803014347707	-0.21601338568505	0.702439673913224	-0.635082255225613	0.463359210083853	-0.739452390846105	5.67260401440846
Data_78	-0.780888806206614	0.0374800075411723	1.04104815272019	-0.635082255225613	-0.482524498934012	-0.45763729314356	3.36761873914452
Data_79	-1.02054185360023	1.13528677033137	0.881066854405312	-0.635082255225613	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_80	-0.447899226220045	1.2048356961724	1.56277383046606	-0.635082255225613	-0.482524498934012	-0.386998051384777	2.25896093725832
Data_81	0.746601267607526	-1.77305042781261	-1.65980193388893	1.68282272707869	-0.482524498934012	-0.0629623859958548	-0.357910157724808
Data_82	1.10279136554716	-1.16916705636354	-1.39577717927294	2.81986500893556	-0.482524498934012	-0.329485554365986	-0.357910157724808
Data_83	0.576050558779515	-2.07656901990668	-1.49960967072525	2.01664470921111	-0.482524498934012	-0.866565664616072	-0.141463574823562
Data_84	1.45741620395875	-1.34981921477484	-1.47703836983139	1.07596314947749	-0.482524498934012	-0.789866838205599	-0.26761314500209
Data_85	1.17683577643815	-1.9149046033254	-1.41923636960708	3.15748337334471	-0.482524498934012	-0.866565664616072	-0.270198660521216
Data_86	1.15688568370511	-0.969592030039754	-1.33188402887419	1.44575966587738	-0.482524498934012	-0.627851062848078	-0.294702816160732
Data_87	0.517309527923559	-2.07656901990668	-1.58802943241394	1.79270708060978	-0.482524498934012	-0.866565664616072	0.0683626610917182
Data_88	0.981038058741287	-1.11637021711261	-1.10746114096584	0.362744965535253	-0.482524498934012	-0.553556161027648	-0.166651287344356
Data_89	1.04908599072495	-1.26691067917207	-1.61162530424768	0.518574281903061	-0.482524498934012	-0.499103215268011	-0.290577022366974
Data_90	0.2832968872142	-1.42059303663535	-1.71989583465291	-0.206073214276022	-0.482524498934012	-0.496482774403708	0.0425016381911213
Data_91	0.386358989456396	-0.407235122234965	-0.494974372106425	1.79998386712332	0.0417815822965127	-0.592981733113546	-0.357910157724808
Data_92	1.16863615434912	-0.616511450783116	-0.857013161179969	0.670452958546727	-0.482524498934012	-0.795449391305575	-0.261018856843791
Data_93	0.655009399262006	-1.55054172740583	-1.34133128113177	1.04778919075844	-0.482524498934012	-0.545854442142642	-0.357910157724808
Data_94	1.27849411871576	-1.73777761376933	-1.80615896534964	2.01355281800063	-0.482524498934012	-0.866565664616072	-0.1491208721221
Data_95	0.581589062512943	-1.63527828338796	-2.07226157734271	3.03331766291734	-0.482524498934012	-0.866565664616072	-0.228907967327358
Data_96	0.950083732500037	-2.07656901990668	-0.586578154017098	3.2096322192015	-0.482524498934012	-0.866565664616072	-0.0311635448370603
Data_97	1.37586769456152	-1.0319926269629	-1.19640333109991	1.26569930682955	-0.482524498934012	-0.715609086441943	-0.357910157724808
Data_98	1.45503844110723	-0.919512304533963	-1.18713565350808	1.89413123471523	-0.482524498934012	-0.627304607226772	-0.357910157724808
Data_99	0.274308300276058	-1.52357668603428	-2.10400372453035	1.0360955377687	-0.482524498934012	-0.866565664616072	-0.357910157724808
Data_100	1.23144033935889	-1.22774257627652	-1.44104967334214	1.34286040531484	-0.337845393180415	-0.4166362815009	-0.357910157724808
Data_101	-0.872888349906161	0.684403808708225	1.36253764545054	-0.635082255225613	2.65829248611966	1.96933924714505	-0.303881155939326
Data_102	-1.45785566223525	0.945956128226384	1.26487078819114	-0.635082255225613	3.16288351654023	1.54468696779521	-0.357910157724808
Data_103	-1.03553379730811	0.708742157443829	1.49117524808309	-0.635082255225613	1.38450356971023	0.941059076973182	-0.277333447560097
Data_104	-0.862794836585418	1.18345798923286	1.04799161847825	-0.635082255225613	2.56677104871669	3.29183158261454	-0.291609008889799
Data_105	-1.2022683061866	0.620660918774564	1.2225412747771	-0.635082255225613	2.80965959460943	2.60431233432189	-0.197066758877975
Data_106	-0.584509113947707	-0.717994477243101	1.03565577636007	-0.635082255225613	0.224203208931001	0.179288821078659	-0.357910157724808
Data_107	-0.389200522244247	1.04794612296504	0.83818433328146	-0.635082255225613	1.75189946529067	0.631025300251088	-0.201928452246417
